bill_number,contact,bill_date,description,quantity,unit_amount,account_code,tax_rate,tax_amount,line_amount
,Bayside Club,2026-09-05,Room hire,1.0000,120.0924,429,Tax on Purchases (8.25%),9.91,120.09
,PC Complete,2026-09-05,Laptop (Tracy),1.0000,1969.9900,720,Tax on Purchases (8.25%),162.52,1969.99
M000471,MCO Cleaning Services,2026-09-05,Office Cleaning - daily rate,5.0000,40.0000,408,Tax on Purchases (8.25%),16.50,200.00
,Gateway Motors,2026-09-06,Annual service company car,1.0000,380.0000,449,Tax on Purchases (8.25%),31.35,380.00
,Young Bros Transport,2026-09-07,Delivery of new reception desk,1.0000,115.5000,425,Tax on Purchases (8.25%),9.53,115.50
AP,Xero,2026-09-07,Monthly subscription,1.0000,29.0000,412,Tax on Purchases (8.25%),2.39,29.00
GB1-White,Bayside Wholesale,2026-09-08,Golf balls - white single,200.0000,3.8799,300,Tax on Purchases (8.25%),64.02,775.98
Rpt,PowerDirect,2026-09-10,Monthly power supply,1.0000,100.3200,445,Tax on Purchases (8.25%),8.28,100.32
CS815,Capital Cab Co,2026-09-11,Taxi services,1.0000,223.5566,493,Tax on Purchases (8.25%),18.44,223.56
Rpt,Net Connect,2026-09-11,Cable internet,1.0000,50.0000,489,Tax on Purchases (8.25%),4.13,50.00
AP,Swanston Security,2026-09-20,Our share building doorman/security,1.0000,55.0000,453,Tax on Purchases (8.25%),4.54,55.00
AP,Xero,2026-10-08,Monthly subscription,1.0000,29.0000,412,Tax on Purchases (8.25%),2.39,29.00
RENT,Truxton Property Management,2026-10-11,Monthy rent in advance,1.0000,1091.2240,469,Tax on Purchases (8.25%),90.03,1091.22
Rpt,PowerDirect,2026-10-11,Monthly power supply,1.0000,105.0000,445,Tax on Purchases (8.25%),8.66,105.00
Rpt,Net Connect,2026-10-12,Cable internet,1.0000,39.0000,489,Tax on Purchases (8.25%),3.22,39.00
AP,Swanston Security,2026-10-21,Our share building doorman/security,1.0000,55.0000,453,Tax on Purchases (8.25%),4.54,55.00
AP,Xero,2026-11-08,Monthly subscription,1.0000,29.0000,412,Tax on Purchases (8.25%),2.39,29.00
RENT,Truxton Property Management,2026-11-11,Monthy rent in advance,1.0000,1091.2240,469,Tax on Purchases (8.25%),90.03,1091.22
Rpt,PowerDirect,2026-11-11,Monthly power supply,1.0000,105.0000,445,Tax on Purchases (8.25%),8.66,105.00
Rpt,Net Connect,2026-11-12,Cable internet,1.0000,39.0000,489,Tax on Purchases (8.25%),3.22,39.00
AP,Swanston Security,2026-11-19,Our share building doorman/security,1.0000,55.0000,453,Tax on Purchases (8.25%),4.54,55.00
