code,name,type,tax_rate,description,ytd
800,Accounts Payable,Current Liability,Tax Exempt (0%),Outstanding invoices the company has received from suppliers but has not yet paid at balance date,8386.76
801,Unpaid Expense Claims,Current Liability,Tax Exempt (0%),Expense claims typically made by employees/shareholder employees still outstanding.,115.95
820,Sales Tax,Current Liability,Tax Exempt (0%),"The balance in this account represents Sales Tax owing to or from your tax authority. At the end of the tax period, it is this account that should be used to code against either the 'refunds from' or 'payments to' your tax authority that will appear on the bank statement. Xero has been designed to use only one sales tax account to track sales taxes on income and expenses, so there is no need to add any new sales tax accounts to Xero.",422.59
825,Employee Tax Payable,Current Liability,Tax Exempt (0%),The amount of tax that has been deducted from wages or salaries paid to employes and is due to be paid,0.00
826,Superannuation Payable,Current Liability,Tax Exempt (0%),The amount of superannuation that is due to be paid,0.00
830,Income Tax Payable,Current Liability,Tax Exempt (0%),"The amount of income tax that is due to be paid, also resident withholding tax paid on interest received.",0.00
835,Revenue Received in Advance,Current Liability,Tax Exempt (0%),When customers pay in advance of work/services.,0.00
840,Historical Adjustment,Current Liability,Tax Exempt (0%),For accountant adjustments,4130.98
850,Suspense,Current Liability,Tax Exempt (0%),"An entry that allows an unknown transaction to be entered, so the accounts can still be worked on in balance and the entry can be dealt with later.",0.00
855,Clearing Account,Current Liability,Tax Exempt (0%),,0.00
860,Rounding,Current Liability,Tax Exempt (0%),An adjustment entry to allow for rounding,0.00
877,Tracking Transfers,Current Liability,Tax Exempt (0%),Transfers between tracking categories,0.00
880,Owner A Drawings,Current Liability,Tax Exempt (0%),Withdrawals by the owners,0.00
881,Owner A Funds Introduced,Current Liability,Tax Exempt (0%),Funds contributed by the owner,0.00
900,Loan,Non-current Liability,Tax Exempt (0%),Money that has been borrowed from a creditor,0.00
960,Retained Earnings,Equity,Tax Exempt (0%),Do not Use,0.00
970,Owner A Share Capital,Equity,Tax Exempt (0%),The value of shares purchased by the shareholders,0.00
